"Nummer","Wort","Klasse","Strategie"
200,"hören","1","Mitsprechen"
201,"Hose","1","Mitsprechen Großschreibung"
202,"Hummel","--","--"
203,"Hund","1","Weiterschwingen Großschreibung"
204,"Hunger","3/4","Mitsprechen Großschreibung"
205,"hungrig","3/4","Weiterschwingen Wortbausteine"
206,"ich","1","Mitsprechen"
207,"Idee","3/4","Merken Großschreibung"
208,"ihm","3/4","Merken"
209,"ihn","2","Merken"
210,"ihr","2","Merken"
211,"im","1","Mitsprechen"
212,"immer","2","Mitsprechen"
213,"in","1","Mitsprechen"
214,"ins","2","Mitsprechen"
215,"isst","--","--"
216,"ist","1","Mitsprechen"
217,"ja","1","Mitsprechen"
218,"Jacke","3/4","Mitsprechen Großschreibung"
219,"Jahr","2","Merken Großschreibung"
220,"jede","1","Mitsprechen"
221,"jetzt","3/4","Merken"
222,"jung","3/4","Weiterschwingen"
223,"Junge","1","Mitsprechen Großschreibung"
224,"kämpfen","3/4","Ableiten"
225,"kann","--","--"
226,"kaputt","3/4","Weiterschwingen"
227,"Karten","3/4","Mitsprechen Großschreibung"
228,"Käse","1","Merken Großschreibung"
229,"Katze","1","Mitsprechen Großschreibung"
230,"kaufen","1","Mitsprechen"
231,"kein","2","Mitsprechen"
232,"kennen","3/4","Mitsprechen"
233,"Kind","1","Weiterschwingen Großschreibung"
234,"Kirche","3/4","Mitsprechen Großschreibung"
235,"Kirsche","2","Mitsprechen Großschreibung"
236,"klappen","--","--"
237,"Klasse","--","--"
238,"klein","1","Mitsprechen"
239,"klettern","3/4","Mitsprechen"
240,"klug","--","--"
241,"Knopf","1","Weiterschwingen Großschreibung"
242,"kochen","1","Mitsprechen"
243,"kommen","1","Mitsprechen"
244,"können","3/4","--"
245,"Kopf","1","Weiterschwingen Großschreibung"
246,"Korb","--","--"
247,"krabbeln","--","--"
248,"Kreuz","3/4","Weiterschwingen Großschreibung"
249,"kriegen","2","Mitsprechen Großschreibung"
250,"Küche","--","--"
251,"Kuh","2","Weiterschwingen Großschreibung"
252,"kurz","3/4","Weiterschwingen"
253,"lachen","1","Mitsprechen"
254,"lang","3/4","Weiterschwingen"
255,"langsam","3/4","Weiterschwingen Wortbausteine"
256,"lassen","3/4","Mitsprechen"
257,"lässt","--","--"
258,"Laub","3/4","Merken Großschreibung"
259,"laufen","1","Mitsprechen"
260,"läuft","--","--"
261,"leer","3/4","Merken"
262,"Lehrer","3/4","Merken Großschreibung"
263,"lernen","1","Mitsprechen"
264,"lesen","1","Mitsprechen"
265,"letzte","--","--"
266,"lieb","1","Weiterschwingen"
267,"liegen","2","Mitsprechen"
268,"liest","--","--"
269,"Löffel","3/4","Mitsprechen Großschreibung"
270,"löschen","--","--"
271,"loslassen","--","--"
272,"Löwe","--","--"
273,"machen","2","Mitsprechen"
274,"mag","--","--"
275,"malen","1","Mitsprechen"
276,"Mama","--","--"
277,"man","1","Mitsprechen"
278,"Mann","1","Weiterschwingen Großschreibung"
279,"Mappe","--","--"
280,"Maus","1","Mitsprechen Großschreibung"
