Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
BUCHMEIER,HERMIT;Aah;Aah;;;Substantiv;;;;Nom;Sing;;;;4368.0;387.0;;;;5847.0;1414.0
BUCHMEIER,HERMIT;Aaron;Aaron;;;Substantiv;;;;Nom;Sing;;;;3526.0;517.0;;;;3799.0;2454.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;ab;ab;;;Präposition;;https://www.dwds.de/wb/ab#1;0.0;;;;;;208.0;16283.0;130.0;536.43;125.0;182.0;104853.0
LEEDS,LEIPZIG;Abbau;Abbau;;;Substantiv;mask.;;;Nom;Sing;;;;;;3404.0;19.44;2442.0;;
LEEDS,LEIPZIG;abbauen;abbauen;;;Verb;;;;;;;;Inf;;;3281.0;20.33;7948.0;;
B1;abbiegen;Abbieg;;;Verb;;https://www.dwds.de/wb/abbiegen;0.0;;;;;Inf;;;;;;;
B1,LEEDS,LEIPZIG;Abbildung;Abbildung;die;;Substantiv;fem.;https://www.dwds.de/wb/Abbildung;0.0;Nom;Sing;;;;;;2446.0;29.55;8806.0;;
BUCHMEIER,HERMIT,LEEDS;abbrechen;abbrechen;;;Verb;;;;;;;;Inf;6975.0;208.0;4215.0;14.66;;6303.0;1286.0
BUCHMEIER,HERMIT;Abby;Abby;;;Substantiv;fem.;;;Nom;Sing;;;;6311.0;238.0;;;;3026.0;3278.0
BUCHMEIER,HERMIT;Abe;Abe;;;Substantiv;fem.;;;Nom;Sing;;;;8723.0;155.0;;;;7880.0;961.0
BUCHMEIER,HERMIT;Abel;Abel;;;Substantiv;;;;Nom;Sing;;;;7037.0;206.0;;;;7961.0;947.0
A1,BUCHMEIER,BW3,HERMIT,LEEDS,LEIPZIG;Abend;Abend;der;die Abende, abends;Substantiv;mask.;https://www.dwds.de/wb/Abend;0.0;Nom;Sing;;;;338.0;8803.0;659.0;111.35;803.0;254.0;71375.0
BUCHMEIER,BW3,HERMIT;Abendessen;Abendessen;das;;Substantiv;neut.;;;Nom;Sing;;;;1821.0;1172.0;;;;1400.0;8629.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;abends;abends;;;Adverb;;;;;;;;;4570.0;366.0;2484.0;28.97;3331.0;2284.0;4696.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Abenteuer;Abenteuer;das;;Substantiv;neut.;https://www.dwds.de/wb/Abenteuer;0.0;Nom;Sing;;;;3556.0;509.0;3337.0;19.91;4508.0;2968.0;3348.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;aber;aber;;;Konjunktion;;https://www.dwds.de/wb/aber#1;0.0;;;;;;64.0;67062.0;32.0;2854.59;52.0;25.0;854492.0
A1;abfahren;abfahren;;;Verb;;https://www.dwds.de/wb/abfahren;0.0;;;;;Inf;;;;;;;
A1,HERMIT,LEIPZIG;Abfahrt;Abfahrt;die;;Substantiv;fem.;https://www.dwds.de/wb/Abfahrt;0.0;Nom;Sing;;;;;;;;7897.0;9905.0;709.0
B1,BUCHMEIER,HERMIT,LEIPZIG;Abfall;Abfall;der;;Substantiv;mask.;https://www.dwds.de/wb/Abfall;0.0;Nom;Sing;;;;8860.0;152.0;;;7144.0;9203.0;781.0
B1;Abfalleimer;Abfalleimer;der;;Substantiv;mask.;https://www.dwds.de/wb/Abfalleimer;0.0;Nom;Plur;;;;;;;;;;
A1;abfliegen;abfliegen;;;Verb;;https://www.dwds.de/wb/abfliegen;0.0;;;;;Inf;;;;;;;
A1,BUCHMEIER;Abflug;Abflug;der;;Substantiv;mask.;https://www.dwds.de/wb/Abflug;0.0;Nom;Sing;;;;9912.0;131.0;;;;;
LEEDS,LEIPZIG;Abgabe;Abgabe;;;Substantiv;fem.;;;Nom;Sing;;;;;;4472.0;13.59;7370.0;;
B1;Abgas;Abgas;das;;Substantiv;neut.;https://www.dwds.de/wb/Abgas;0.0;Nom;Sing;;;;;;;;;;
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;abgeben;abgeben;;;Verb;;https://www.dwds.de/wb/abgeben;0.0;;;;;Inf;4342.0;390.0;1798.0;41.63;3394.0;3726.0;2513.0
BUCHMEIER,HERMIT,LEIPZIG;abgebrochen;abbrechen;;;Verb;;;;;;;;Part;7556.0;187.0;;;6388.0;6837.0;1152.0
BUCHMEIER,HERMIT;abgefahren;abfahren;;;Verb;;;;;;;;Part;7886.0;177.0;;;;5902.0;1399.0
BUCHMEIER,HERMIT,LEIPZIG;abgegeben;abgeben;;;Verb;;;;;;;;Part;7555.0;187.0;;;3709.0;6067.0;1353.0
BUCHMEIER,HERMIT;abgehauen;abgehauen;;;Verb;;;;;Plur;;;Fin;3825.0;460.0;;;;2828.0;3545.0
BUCHMEIER,HERMIT;abgeholt;abholen;;;Verb;;;;;;;;Part;5797.0;266.0;;;;4198.0;2165.0
BUCHMEIER,HERMIT;abgelaufen;ablaufen;;;Verb;;;;;;;;Part;7004.0;207.0;;;;6854.0;1149.0
HERMIT,LEIPZIG;abgelegt;ablegen;;;Verb;;;;;;;;Part;;;;;5482.0;9145.0;788.0
BUCHMEIER,HERMIT,LEIPZIG;abgelehnt;ablehnen;;;Verb;;;;;;;;Part;5094.0;318.0;;;1565.0;3388.0;2846.0
BUCHMEIER,HERMIT;abgelenkt;ablenken;;;Verb;;;;;;;;Part;7455.0;190.0;;;;6380.0;1269.0
BUCHMEIER,HERMIT;Abgemacht;Abgemacht;;;Substantiv;neut.;;;Nom;Sing;;;;4793.0;345.0;;;;2853.0;3506.0
BUCHMEIER,HERMIT,LEIPZIG;abgenommen;abnehmen;;;Verb;;;;;;;;Part;5647.0;275.0;;;6968.0;4857.0;1787.0
LEEDS,LEIPZIG;Abgeordnete;abgeordneter;;;Substantiv;;;;Nom;Plur;;;;;;1853.0;40.04;2438.0;;
HERMIT,LEIPZIG;abgerissen;abreißen;;;Verb;;;;;;;;Part;;;;;7715.0;8793.0;828.0
BUCHMEIER,HERMIT,LEIPZIG;abgesagt;absagen;;;Verb;;;;;;;;Part;7124.0;203.0;;;6737.0;5302.0;1594.0
BUCHMEIER,HERMIT;abgeschaltet;abschalten;;;Verb;;;;;;;;Part;7779.0;180.0;;;;9061.0;796.0
BUCHMEIER,HERMIT,LEIPZIG;abgeschlossen;abschließen;;;Verb;;;;;;;;Part;2788.0;695.0;;;1339.0;2435.0;4322.0
BUCHMEIER,HERMIT,LEIPZIG;abgeschnitten;abschneiden;;;Verb;;;;;;;;Part;6295.0;239.0;;;9159.0;6185.0;1324.0
BUCHMEIER,HERMIT;abgeschossen;abschießen;;;Verb;;;;;;;;Part;8533.0;159.0;;;;9559.0;744.0
BUCHMEIER,HERMIT,LEIPZIG;abgesehen;absehen;;;Verb;;;;;;;;Part;3185.0;589.0;;;3577.0;1881.0;5981.0
BUCHMEIER,HERMIT,LEIPZIG;abgesetzt;absetzen;;;Verb;;;;;;;;Part;8823.0;153.0;;;5962.0;7384.0;1049.0
HERMIT,LEIPZIG;abgestellt;abstellen;;;Verb;;;;;;;;Part;;;;;9398.0;9580.0;742.0
BUCHMEIER,HERMIT;abgestürzt;abstürzen;;;Verb;;;;;;;;Part;7248.0;199.0;;;;8770.0;831.0
HERMIT,LEIPZIG;abgewiesen;abweisen;;;Verb;;;;;;;;Part;;;;;8973.0;9467.0;753.0
BUCHMEIER,HERMIT,LEIPZIG;abgezogen;Abgezog;;;Substantiv;mask.;;;Dat;Plur;;;;7747.0;181.0;;;7564.0;6743.0;1176.0
BUCHMEIER,HERMIT;Abgrund;Abgrund;;;Substantiv;mask.;;;Nom;Sing;;;;9650.0;136.0;;;;8405.0;882.0
BUCHMEIER,HERMIT,LEEDS;abhalten;abhalten;;;Verb;;;;;;;;Inf;5404.0;291.0;3247.0;20.63;;4199.0;2164.0
B1;abhangen;abhangen;;;Verb;;https://www.dwds.de/wb/abhangen;0.0;;;;;Inf;;;;;;;
BUCHMEIER,HERMIT;abhauen;abhauen;;;Verb;;;;;;;;Inf;2787.0;695.0;;;;2369.0;4482.0
B1;abheben;abheben;;;Verb;;https://www.dwds.de/wb/abheben;0.0;;;;;Inf;;;;;;;
A1,BUCHMEIER,HERMIT,LEEDS;abholen;abholen;;;Verb;;https://www.dwds.de/wb/abholen;0.0;;;;;Inf;2372.0;845.0;3888.0;16.32;;1987.0;5556.0
B1,BUCHMEIER,HERMIT,LEEDS;abhängen;abhängen;;;Verb;;https://www.dwds.de/wb/abh%C3%A4ngen#1;0.0;;;;;Inf;9014.0;149.0;3665.0;17.63;;6076.0;1350.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;abhängig;abhängig;;;Adjektiv;;https://www.dwds.de/wb/abh%C3%A4ngig;0.0;;;Pos;;;7003.0;207.0;1747.0;42.84;2484.0;6240.0;1305.0
LEEDS,LEIPZIG;Abhängigkeit;Abhängigkeit;;;Substantiv;fem.;;;Nom;Sing;;;;;;2663.0;26.51;4883.0;;
B1,LEIPZIG;Abitur;Abitur;das;;Substantiv;neut.;https://www.dwds.de/wb/Abitur;0.0;Nom;Sing;;;;;;;;6079.0;;
BUCHMEIER,HERMIT,LEIPZIG;Abkommen;Abkommen;;;Substantiv;neut.;;;Nom;Sing;;;;8311.0;165.0;;;2448.0;8237.0;906.0
BUCHMEIER,HERMIT;Abkürzung;Abkürzung;;;Substantiv;fem.;;;Nom;Sing;;;;8055.0;172.0;;;;8106.0;926.0
LEEDS,LEIPZIG;Ablauf;Ablauf;;;Substantiv;mask.;;;Nom;Sing;;;;;;2232.0;32.9;3495.0;;
BUCHMEIER,HERMIT,LEEDS;ablegen;ablegen;;;Verb;;;;;;;;Inf;8015.0;173.0;2613.0;27.24;;6477.0;1241.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;ablehnen;ablehnen;;;Verb;;https://www.dwds.de/wb/ablehnen;0.0;;Plur;;;Fin;6635.0;223.0;1434.0;52.79;8287.0;5609.0;1483.0
LEEDS,LEIPZIG;Ablehnung;Ablehnung;;;Substantiv;fem.;;;Nom;Sing;;;;;;2707.0;25.94;3147.0;;
BUCHMEIER,HERMIT;ablenken;ablenken;;;Verb;;;;;Plur;;;Fin;6404.0;234.0;;;;5588.0;1492.0
BUCHMEIER,HERMIT;Ablenkung;Ablenkung;;;Substantiv;fem.;;;Nom;Sing;;;;8133.0;170.0;;;;6311.0;1284.0
B1;abmachen;abmachen;;;Verb;;https://www.dwds.de/wb/abmachen;0.0;;;;;Inf;;;;;;;
BUCHMEIER,HERMIT;Abmachung;Abmachung;;;Substantiv;fem.;;;Nom;Sing;;;;3572.0;505.0;;;;3390.0;2843.0
B1,BUCHMEIER,HERMIT,LEEDS;abnehmen;abnehmen;;;Verb;;https://www.dwds.de/wb/abnehmen;0.0;;;;;Inf;4421.0;381.0;2911.0;23.65;;3954.0;2336.0
B1;Abonnement;Abonnement;das;;Substantiv;neut.;https://www.dwds.de/wb/Abonnement;0.0;Nom;Sing;;;;;;;;;;
B1;abonnieren;abonnieren;;;Verb;;https://www.dwds.de/wb/abonnieren;0.0;;;;;Inf;;;;;;;
B1,BUCHMEIER,HERMIT;absagen;absagen;;;Verb;;https://www.dwds.de/wb/absagen;0.0;;;;;Inf;7247.0;199.0;;;;5570.0;1498.0
LEEDS,LEIPZIG;Absatz;Absatz;;;Substantiv;mask.;;;Nom;Sing;;;;;;1668.0;44.86;3630.0;;
LEEDS,LEIPZIG;Abschaffung;Abschaffung;;;Substantiv;fem.;;;Nom;Sing;;;;;;3727.0;17.25;3828.0;;
BUCHMEIER,HERMIT;abschalten;abschalten;;;Verb;;;;;;;;Inf;5048.0;322.0;;;;5698.0;1458.0
BUCHMEIER,HERMIT;Abschaum;Abschaum;;;Substantiv;mask.;;;Acc;Sing;;;;4981.0;328.0;;;;5344.0;1577.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Abschied;Abschied;der;;Substantiv;mask.;https://www.dwds.de/wb/Abschied;0.0;Nom;Sing;;;;5382.0;293.0;3432.0;19.28;2868.0;4375.0;2062.0
A2,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;abschließen;abschließen;;;Verb;;https://www.dwds.de/wb/abschlie%C3%9Fen;0.0;;;;;Inf;7002.0;207.0;1386.0;54.39;8116.0;5702.0;1457.0
B1,BUCHMEIER,HERMIT;Abschluss;Abschluss;der;;Substantiv;mask.;https://www.dwds.de/wb/Abschluss;0.0;Nom;Sing;;;;3925.0;446.0;;;;3481.0;2738.0
LEEDS,LEIPZIG;Abschluß;Abschluß;;;Substantiv;mask.;;;Nom;Sing;;;;;;1423.0;53.31;1516.0;;
BUCHMEIER,HERMIT,LEEDS;abschneiden;abschneiden;;;Verb;;;;;;;;Inf;7157.0;202.0;4748.0;12.52;;7246.0;1073.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Abschnitt;Abschnitt;der;;Substantiv;mask.;https://www.dwds.de/wb/Abschnitt;0.0;Nom;Sing;;;;8776.0;154.0;1660.0;45.23;2368.0;7991.0;944.0
B1;abschreiben;abschreiben;;;Verb;;https://www.dwds.de/wb/abschreiben;0.0;;;;;Inf;;;;;;;
A1;Absender;Absender;der;;Substantiv;mask.;https://www.dwds.de/wb/Absender;0.0;Nom;Plur;;;;;;;;;;
B1;Absenderin;Absenderin;die;;Substantiv;fem.;https://www.dwds.de/wb/Absenderin;0.0;Nom;Sing;;;;;;;;;;
BUCHMEIER,HERMIT,LEEDS;absetzen;absetzen;;;Verb;;;;;;;;Inf;9342.0;142.0;4686.0;12.75;;7518.0;1024.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Absicht;Absicht;;;Substantiv;fem.;;;Nom;Sing;;;;2635.0;743.0;1562.0;48.54;2457.0;2240.0;4789.0
BUCHMEIER,HERMIT,LEIPZIG;Absichten;Absicht;;;Substantiv;fem.;;;Nom;Plur;;;;6881.0;212.0;;;8725.0;5560.0;1501.0
BUCHMEIER,HERMIT;absichtlich;absichtlich;;;Adverb;;;;;;Pos;;;4848.0;340.0;;;;4406.0;2045.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;absolut;absolut;;;Adjektiv;;https://www.dwds.de/wb/absolut#1;0.0;;;Pos;;;1488.0;1474.0;757.0;98.66;3375.0;986.0;13045.0
BUCHMEIER,HERMIT,LEIPZIG;absolute;absoluen;;;Verb;;;;;Sing;;;Fin;6262.0;241.0;;;3754.0;5469.0;1535.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Abstand;Abstand;;;Substantiv;mask.;;;Nom;Sing;;;;5263.0;303.0;1956.0;37.94;2595.0;3949.0;2337.0
BUCHMEIER,HERMIT;abstellen;abstellen;;;Verb;;;;;Plur;;;Fin;8822.0;153.0;;;;7887.0;959.0
B1,LEEDS,LEIPZIG;abstimmen;abstimmen;;;Verb;;https://www.dwds.de/wb/abstimmen;0.0;;;;;Inf;;;3892.0;16.32;9534.0;;
HERMIT,LEEDS,LEIPZIG;Abstimmung;Abstimmung;;;Substantiv;fem.;;;Nom;Sing;;;;;;2697.0;26.08;2468.0;8301.0;898.0
BUCHMEIER,HERMIT,LEIPZIG;Absturz;Absturz;;;Substantiv;mask.;;;Nom;Sing;;;;7582.0;186.0;;;5833.0;9841.0;716.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;absurd;absurd;;;Adverb;;;;;;Pos;;;7156.0;202.0;4649.0;12.87;8445.0;4985.0;1728.0
B1;Abt;Abt;der;;Substantiv;mask.;https://www.dwds.de/wb/Abt;0.0;Nom;Sing;;;;;;;;;;
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Abteilung;Abteilung;die;;Substantiv;fem.;https://www.dwds.de/wb/Abteilung;0.0;Nom;Sing;;;;2780.0;696.0;1987.0;37.23;2698.0;2646.0;3896.0
B1;Abwart;Abwart;der;;Substantiv;;https://www.dwds.de/wb/Abwart;0.0;;;;;;;;;;;;
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;abwarten;abwarten;;;Verb;;;;;;;;Inf;5254.0;304.0;4255.0;14.47;6960.0;4091.0;2234.0
B1;Abwartin;Abwartin;die;;Substantiv;fem.;https://www.dwds.de/wb/Abwartin;0.0;Nom;Sing;;;;;;;;;;
B1;abwaschen;abwaschen;;;Verb;;https://www.dwds.de/wb/abwaschen;0.0;;;;;Inf;;;;;;;
BUCHMEIER,HERMIT;Abwechslung;Abwechslung;;;Substantiv;fem.;;;Nom;Sing;;;;8234.0;167.0;;;;7115.0;1098.0
LEEDS,LEIPZIG;Abwehr;Abwehr;;;Adverb;;;;;;;;;;;4783.0;12.36;4400.0;;
B1;abwesend;abwesend;;;Adjektiv;;https://www.dwds.de/wb/abwesend;0.0;;;Pos;;;;;;;;;
BUCHMEIER,HERMIT,LEIPZIG;Abwesenheit;Abwesenheit;;;Substantiv;fem.;;;Nom;Sing;;;;9182.0;145.0;;;6792.0;6869.0;1146.0
B1;abwärts;abwärts;;;Adverb;;https://www.dwds.de/wb/abw%C3%A4rts;0.0;;;;;;;;;;;;
BUCHMEIER,HERMIT;abziehen;abziehen;;;Verb;;;;;;;;Inf;7842.0;178.0;;;;6675.0;1193.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Abzug;Abzug;;;Substantiv;mask.;;;Nom;Sing;;;;6723.0;219.0;4727.0;12.61;3715.0;6381.0;1269.0
BUCHMEIER,HERMIT;abzuhalten;abhalten;;;Verb;;;;;;;;Inf;9982.0;130.0;;;;9331.0;767.0
BUCHMEIER,HERMIT;abzuholen;abzuholen;;;Verb;;;;;;;;Inf;6511.0;229.0;;;;6059.0;1356.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Ach;ach;;;INTJ;;;;;;;;;260.0;12242.0;1695.0;44.2;5755.0;226.0;82252.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;acht;acht;;;Kardinalzahlwort;;https://www.dwds.de/wb/acht;0.0;;;;;;1441.0;1535.0;964.0;78.56;432.0;903.0;14757.0
BUCHMEIER,HERMIT;Achte;Achte;;;Substantiv;fem.;;;Nom;Sing;;;;6945.0;209.0;;;;4716.0;1868.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;achten;achten;;;Verb;;https://www.dwds.de/wb/achten;0.0;;Plur;;;Fin;3868.0;455.0;1616.0;46.5;3393.0;2954.0;3363.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Achtung;Achtung;die;;Substantiv;fem.;https://www.dwds.de/wb/Achtung;0.0;Nom;Sing;;;;1553.0;1405.0;2543.0;28.11;8265.0;1372.0;8811.0
A1;achtzehn;achtzehn;;;Kardinalzahlwort;;https://www.dwds.de/wb/achtzehn;0.0;;;;;;;;;;;;
A1,LEIPZIG;achtzig;achtzig;;;Kardinalzahlwort;;https://www.dwds.de/wb/achtzig;0.0;;;Pos;;;;;;;9599.0;;
BUCHMEIER,HERMIT;Action;Action;;;Substantiv;fem.;;;Nom;Sing;;;;4182.0;411.0;;;;4713.0;1870.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Adam;Adam;;;Substantiv;mask.;;;Nom;Sing;;;;2352.0;856.0;3874.0;16.4;8081.0;2068.0;5226.0
BUCHMEIER,HERMIT;Adams;Adams;;;Substantiv;mask.;;;Nom;Sing;;;;6611.0;224.0;;;;6212.0;1316.0
BUCHMEIER,HERMIT,LEIPZIG;Adler;Adler;;;Substantiv;;;;Nom;Sing;;;;8233.0;167.0;;;9145.0;5597.0;1488.0
BUCHMEIER,HERMIT;Admiral;Admiral;;;Substantiv;mask.;;;Nom;Sing;;;;3103.0;607.0;;;;4060.0;2253.0
BUCHMEIER,HERMIT;adoptiert;adoptieren;;;Verb;;;;;;;;Part;8621.0;157.0;;;;7720.0;989.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Adresse;Adresse;die;;Substantiv;fem.;https://www.dwds.de/wb/Adresse;0.0;Nom;Sing;;;;1709.0;1252.0;1682.0;44.42;3563.0;1450.0;8356.0
HERMIT,LEIPZIG;Adressen;Adresse;;;Substantiv;fem.;;;Nom;Plur;;;;;;;;6733.0;9932.0;707.0
BW3;Advent;Advent;der;;Substantiv;mask.;;;Nom;Sing;;;;;;;;;;
BUCHMEIER,HERMIT;Affe;affe;;;Substantiv;;;;Nom;Sing;;;;4097.0;424.0;;;;4605.0;1919.0
BUCHMEIER,HERMIT;Affen;Affe;;;Substantiv;fem.;;;Nom;Plur;;;;2516.0;784.0;;;;3355.0;2870.0
BUCHMEIER,HERMIT,LEIPZIG;Affäre;Affäre;;;Substantiv;fem.;;;Nom;Sing;;;;4139.0;417.0;;;4235.0;2861.0;3496.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Afghanistan;Afghanistan;;;Substantiv;neut.;;;Nom;Sing;;;;6944.0;209.0;2743.0;25.56;8104.0;6549.0;1225.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Afrika;Afrika;;;Substantiv;neut.;;;Nom;Sing;;;;5144.0;313.0;1988.0;37.22;2557.0;3284.0;2957.0
LEEDS,LEIPZIG;AG;AG;;;Substantiv;fem.;;;Nom;Sing;;;;;;1098.0;69.28;524.0;;
BUCHMEIER,HERMIT,LEEDS;Agent;Agent;;;Substantiv;mask.;;;Nom;Sing;;;;1204.0;1917.0;4732.0;12.57;;975.0;13322.0
BUCHMEIER,HERMIT,LEIPZIG;Agenten;Agent;;;Substantiv;mask.;;;Nom;Plur;;;;2762.0;700.0;;;9811.0;2531.0;4126.0
BUCHMEIER,HERMIT;Agentin;Agentin;;;Substantiv;fem.;;;Nom;Sing;;;;8671.0;156.0;;;;7403.0;1045.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Agentur;Agentur;;;Substantiv;fem.;;;Nom;Sing;;;;9275.0;143.0;3835.0;16.6;4585.0;5604.0;1484.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;aggressiv;aggressiv;;;Adverb;;;;;;Pos;;;8532.0;159.0;3123.0;21.72;9662.0;6892.0;1139.0
LEEDS,LEIPZIG;agieren;agieren;;;Verb;;;;;;;;Inf;;;4047.0;15.46;8357.0;;
BUCHMEIER,HERMIT;Ah;Ah;;;Andere;;;;;;;;;610.0;4769.0;;;;511.0;31832.0
BUCHMEIER,HERMIT;Aha;Aha;;;Andere;;;;;;;;;2161.0;950.0;;;;1563.0;7512.0
BUCHMEIER,HERMIT;Ahh;Ahh;;;Andere;;;;;;;;;6103.0;250.0;;;;9725.0;728.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;ahnen;ahnen;;;Verb;;;;;;;;Inf;9228.0;144.0;3339.0;19.9;8346.0;4993.0;1726.0
A2,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Ahnung;Ahnung;die;;Substantiv;fem.;https://www.dwds.de/wb/Ahnung;0.0;Nom;Sing;;;;491.0;6007.0;2809.0;24.79;6403.0;398.0;41525.0
BUCHMEIER,HERMIT;Air;Air;;;Substantiv;;;;Nom;Sing;;;;5223.0;307.0;;;;4788.0;1832.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Akademie;Akademie;;;Substantiv;fem.;;;Nom;Sing;;;;9385.0;141.0;3574.0;18.23;4463.0;7371.0;1052.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Akt;Akt;;;Substantiv;mask.;;;Nom;Sing;;;;4692.0;354.0;1912.0;38.81;3929.0;4955.0;1740.0
BUCHMEIER,HERMIT,LEIPZIG;Akte;Akt;;;Substantiv;mask.;;;Nom;Plur;;;;2443.0;809.0;;;9444.0;1969.0;5633.0
BUCHMEIER,HERMIT,LEIPZIG;Akten;Akte;;;Substantiv;fem.;;;Nom;Plur;;;;3540.0;513.0;;;3396.0;2469.0;4250.0
LEEDS,LEIPZIG;Aktie;Aktie;;;Substantiv;fem.;;;Nom;Sing;;;;;;1927.0;38.6;1438.0;;
BUCHMEIER,HERMIT,LEIPZIG;Aktien;Aktie;;;Substantiv;fem.;;;Nom;Plur;;;;7097.0;204.0;;;844.0;6664.0;1196.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Aktion;Aktion;die;;Substantiv;fem.;https://www.dwds.de/wb/Aktion;0.0;Nom;Sing;;;;4569.0;366.0;771.0;97.36;1134.0;4475.0;1997.0
BUCHMEIER,LEIPZIG;Aktionen;Aktion;;;Substantiv;fem.;;;Nom;Plur;;;;9384.0;141.0;;;2381.0;;
A2,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;aktiv;aktiv;;;Adjektiv;;https://www.dwds.de/wb/aktiv;0.0;;;Pos;;;6310.0;238.0;713.0;104.83;1864.0;5124.0;1659.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;aktivieren;aktivieren;;;Verb;;;;;Plur;;;Fin;6060.0;252.0;3500.0;18.77;8086.0;5354.0;1574.0
BUCHMEIER,HERMIT,LEIPZIG;aktiviert;aktivieren;;;Verb;;;;;;;;Part;3858.0;456.0;;;7499.0;4037.0;2269.0
B1,HERMIT,LEEDS,LEIPZIG;Aktivität;Aktivität;die;;Substantiv;fem.;https://www.dwds.de/wb/Aktivit%C3%A4t;0.0;Nom;Sing;;;;;;1106.0;68.8;6525.0;9004.0;802.0
BUCHMEIER,HERMIT,LEIPZIG;Aktivitäten;Aktivität;;;Substantiv;fem.;;;Nom;Plur;;;;6676.0;221.0;;;1931.0;6018.0;1367.0
A2,LEEDS,LEIPZIG;aktuell;aktuell;;;Adjektiv;;https://www.dwds.de/wb/aktuell;0.0;;;Pos;;;;;449.0;159.86;5909.0;;
BUCHMEIER,HERMIT;Akzent;Akzent;;;Substantiv;mask.;;;Nom;Sing;;;;5103.0;317.0;;;;4530.0;1962.0
LEEDS,LEIPZIG;Akzeptanz;Akzeptanz;;;Substantiv;fem.;;;Nom;Sing;;;;;;3918.0;16.2;6358.0;;
BUCHMEIER,HERMIT;akzeptiere;akzeptiern;;;Verb;;;;;Sing;;;Fin;7522.0;188.0;;;;6172.0;1326.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;akzeptieren;akzeptieren;;;Verb;;https://www.dwds.de/wb/akzeptieren;0.0;;;;;Inf;2890.0;665.0;1359.0;55.68;3314.0;2378.0;4462.0
BUCHMEIER,HERMIT,LEIPZIG;akzeptiert;akzeptieren;;;Verb;;;;;;;;Part;5685.0;273.0;;;3374.0;4278.0;2119.0
BUCHMEIER,HERMIT,LEEDS;Al;Al;;;Substantiv;mask.;;;Nom;Sing;;;;1964.0;1072.0;3419.0;19.34;;1384.0;8751.0
BUCHMEIER,HERMIT;Alan;Alan;;;Substantiv;mask.;;;Nom;Sing;;;;3532.0;516.0;;;;2238.0;4794.0
B1,BUCHMEIER,HERMIT,LEIPZIG;Alarm;Alarm;der;;Substantiv;mask.;https://www.dwds.de/wb/Alarm;0.0;Nom;Sing;;;;2827.0;679.0;;;9292.0;2398.0;4422.0
BUCHMEIER,HERMIT;Alarmstufe;Alarmstufe;;;Substantiv;mask.;;;Nom;Plur;;;;7581.0;186.0;;;;8822.0;824.0
BUCHMEIER,HERMIT;albern;albern;;;Adverb;;;;;;Pos;;;3965.0;441.0;;;;2995.0;3315.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Albert;Albert;;;Substantiv;;;;Nom;Sing;;;;5240.0;305.0;3917.0;16.2;5454.0;2786.0;3632.0
BUCHMEIER,HERMIT;Albtraum;Albtraum;;;Substantiv;mask.;;;Nom;Sing;;;;4504.0;372.0;;;;3916.0;2366.0
