Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
B1,HERMIT;Schmutz;Schmutz;der;;Substantiv;mask.;https://www.dwds.de/wb/Schmutz;0.0;Nom;Sing;;;;;;;;;8800.0;827.0
A2,BUCHMEIER,BW3,HERMIT;schmutzig;schmutzig;;Schmutz;Adjektiv;;https://www.dwds.de/wb/schmutzig;0.0;;;Pos;;;4591.0;363.0;;;;3998.0;2302.0
BUCHMEIER,HERMIT;schmutzige;schmutzig;;;Adjektiv;;;;Nom;Plur;Pos;;;7649.0;183.0;;;;6903.0;1137.0
BUCHMEIER,HERMIT;schmutzigen;schmutzigen;;;Verb;;;;;Plur;;;Fin;9353.0;141.0;;;;8236.0;906.0
BUCHMEIER,HERMIT;Schnapp;Schnapp;;;Andere;;;;;;;;;5784.0;266.0;;;;3677.0;2553.0
BUCHMEIER,HERMIT;schnappen;Schnappe;;;Substantiv;fem.;;;Nom;Plur;;;;3105.0;606.0;;;;2168.0;4962.0
BUCHMEIER,HERMIT;Schnappt;Schnappt;;;Substantiv;;;;Nom;Sing;;;;4325.0;391.0;;;;3050.0;3238.0
BUCHMEIER,HERMIT;Schnaps;Schnaps;;;Substantiv;mask.;;;Nom;Sing;;;;6904.0;210.0;;;;4794.0;1828.0
BUCHMEIER,HERMIT;Schnauze;Schnauze;;;Andere;;;;;;;;;2737.0;708.0;;;;2436.0;4320.0
BW1;Schnecke;Schnecke;die;;Substantiv;fem.;;;Nom;Sing;;;;;;;;;;
A2,BUCHMEIER,BW3,HERMIT,LEEDS,LEIPZIG;Schnee;Schnee;der;;Substantiv;mask.;https://www.dwds.de/wb/Schnee;0.0;Nom;Sing;;;;3130.0;601.0;3617.0;17.92;4090.0;2822.0;3557.0
BW3;Schneemann;Schneemann;der;;Substantiv;mask.;;;Nom;Sing;;;;;;;;;;
BUCHMEIER,HERMIT;Schneid;Schneid;;;Substantiv;mask.;;;Nom;Sing;;;;9931.0;130.0;;;;7898.0;957.0
BUCHMEIER,HERMIT;schneide;schneiden;;;Verb;;;;;Sing;;;Fin;6928.0;209.0;;;;5496.0;1522.0
A2,BUCHMEIER,BW1,HERMIT,LEEDS;schneiden;schneiden;;du schneidest, ich schnitt;Verb;;https://www.dwds.de/wb/schneiden;0.0;;Plur;;;Fin;3423.0;535.0;3243.0;20.66;;3098.0;3176.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Schneider;Schneider;;;Substantiv;;;;Nom;Sing;;;;6241.0;241.0;3318.0;20.08;3133.0;5954.0;1385.0
BUCHMEIER,HERMIT;schneidet;schneiden;;;Verb;;;;;Sing;;;Fin;7901.0;176.0;;;;6604.0;1212.0
A2,BW3;schneien;Schneien;;es schneit;Verb;;https://www.dwds.de/wb/schneien;0.0;Nom;Sing;;;;;;;;;;
A1,BUCHMEIER,BW3,HERMIT,LEEDS,LEIPZIG;schnell;schnell;;;Adjektiv;;https://www.dwds.de/wb/schnell;0.0;;;Pos;;;334.0;8885.0;203.0;332.43;434.0;273.0;66011.0
BUCHMEIER,HERMIT,LEIPZIG;schnelle;schnell;;;Adjektiv;;;;Nom;Sing;Pos;;;7017.0;206.0;;;3401.0;4744.0;1852.0
HERMIT,LEIPZIG;schnellen;schnell;;;Substantiv;mask.;;;Nom;Plur;;;;;;;;3382.0;9124.0;790.0
BUCHMEIER,HERMIT,LEIPZIG;schneller;schnell;;;Adverb;;;;;;Cmp;;;1213.0;1898.0;;;1713.0;890.0;14990.0
BUCHMEIER,HERMIT;Schnellste;Schnellste;;;Substantiv;mask.;;;Nom;Plur;;;;8468.0;160.0;;;;8536.0;863.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Schnitt;Schnitt;;;Substantiv;mask.;;;Nom;Sing;;;;2564.0;768.0;3468.0;18.99;3476.0;2874.0;3482.0
LEEDS,LEIPZIG;Schnittstelle;Schnittstelle;;;Substantiv;fem.;;;Nom;Sing;;;;;;4985.0;11.68;9290.0;;
B1;Schnupfen;schnupfen;der;;Substantiv;mask.;https://www.dwds.de/wb/Schnupfen;0.0;Nom;Sing;;;;;;;;;;
BUCHMEIER,HERMIT,LEIPZIG;Schock;Schock;;;Substantiv;mask.;;;Nom;Sing;;;;3709.0;478.0;;;5547.0;3123.0;3128.0
BUCHMEIER,HERMIT;schockiert;schockiert;;;Adverb;;;;;;Pos;;;8393.0;162.0;;;;6422.0;1257.0
A2,BUCHMEIER,HERMIT;Schokolade;Schokolade;die;;Substantiv;fem.;https://www.dwds.de/wb/Schokolade;0.0;Nom;Sing;;;;3562.0;507.0;;;;3430.0;2791.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;schon;schon;;;Adverb;;https://www.dwds.de/wb/schon;0.0;;;;;;66.0;65985.0;70.0;1210.22;69.0;54.0;442343.0
BUCHMEIER,HERMIT;School;School;;;Andere;;;;;;;;;4152.0;415.0;;;;4203.0;2163.0
BUCHMEIER,HERMIT;schoss;Schoss;;;Substantiv;;;;Nom;Sing;;;;7107.0;203.0;;;;5024.0;1714.0
HERMIT,LEIPZIG;Schottland;Schottland;;;Substantiv;neut.;;;Nom;Sing;;;;;;;;7195.0;7021.0;1114.0
BUCHMEIER,HERMIT,LEIPZIG;Schoß;Schoß;;;Substantiv;;;;Nom;Sing;;;;8167.0;168.0;;;7098.0;6463.0;1245.0
A1,BUCHMEIER,BW1,HERMIT;Schrank;Schrank;der;Schränke;Substantiv;mask.;https://www.dwds.de/wb/Schrank;0.0;Nom;Sing;;;;3264.0;568.0;;;;2746.0;3711.0
B1,BW3,HERMIT,LEEDS;Schreck;Schreck;der;erschrecken, schrecklich;Substantiv;mask.;https://www.dwds.de/wb/Schreck;0.0;Nom;Sing;;;;;;3694.0;17.46;;9946.0;705.0
B1,BUCHMEIER,HERMIT,LEIPZIG;Schrecken;Schrecken;der;;Substantiv;mask.;https://www.dwds.de/wb/Schrecken;0.0;Nom;Sing;;;;7365.0;193.0;;;5394.0;5828.0;1422.0
A2,BUCHMEIER,HERMIT,LEEDS;schrecklich;schrecklich;;;Adjektiv;;https://www.dwds.de/wb/schrecklich;0.0;;;Pos;;;1412.0;1562.0;2615.0;27.21;;1151.0;10850.0
BUCHMEIER,HERMIT;schreckliche;schrecklich;;;Adjektiv;;;;Nom;Sing;Pos;;;4107.0;421.0;;;;2897.0;3448.0
BUCHMEIER,HERMIT;schrecklichen;schrecklichen;;;Verb;;;;;Plur;;;Fin;5307.0;298.0;;;;4352.0;2075.0
BUCHMEIER,HERMIT;schrecklicher;Schrecklicher;;;Substantiv;mask.;;;Nom;Sing;;;;7987.0;173.0;;;;6966.0;1125.0
BUCHMEIER,HERMIT;Schreckliches;schreckliches;;;Substantiv;neut.;;;Nom;Sing;;;;8321.0;164.0;;;;5023.0;1714.0
BUCHMEIER,HERMIT,LEEDS;Schrei;Schrei;;;Substantiv;fem.;;;Nom;Sing;;;;3900.0;450.0;4742.0;12.55;;2782.0;3636.0
BUCHMEIER,HERMIT;Schreib;Schreib;;;Substantiv;mask.;;;Nom;Sing;;;;5501.0;283.0;;;;3051.0;3237.0
BUCHMEIER,HERMIT;schreibe;schreiben;;;Verb;;;;;Sing;;;Fin;3202.0;583.0;;;;2362.0;4502.0
A1,B1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;schreiben;schreiben;das;du schreibst, ich schrieb;Substantiv;;https://www.dwds.de/wb/schreiben;0.0;;Plur;;;Fin;1102.0;2145.0;167.0;409.01;1569.0;797.0;16942.0
BUCHMEIER,HERMIT;schreibst;schreibst;;;Adverb;;;;;;;;;5306.0;298.0;;;;4021.0;2280.0
BUCHMEIER,HERMIT,LEIPZIG;schreibt;schreiben;;;Verb;;;;;Sing;;;Fin;2706.0;719.0;;;1082.0;2037.0;5364.0
