Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
BUCHMEIER,HERMIT,LEIPZIG;lernte;;;;;;;4042.0;431;;;7372.0;3740.0;2499.0
BUCHMEIER,HERMIT;lernten;;;;;;;7021.0;206;;;;7279.0;1066.0
HERMIT,LEEDS;les;;;;;;;;;4652.0;12.87;;7440.0;1037.0
BUCHMEIER,HERMIT;lesbisch;;;;;;;9517.0;138;;;;8402.0;882.0
BUCHMEIER,HERMIT,LEEDS;lese;;;;;;;3765.0;467;2485.0;28.96;;3352.0;2875.0
A1,BUCHMEIER,BW1,FEHLER100,HERMIT,LEEDS,LEIPZIG,LEO739,NRW422;lesen;;du liest, ich las;Verb;;https://www.dwds.de/wb/lesen#1;0.0;1162.0;2016;301.0;235.47;1512.0;873.0;15312.0
B1,LEEDS,LEIPZIG;Leser;der;;Substantiv;mask.;https://www.dwds.de/wb/Leser#1;0.0;;;979.0;77.13;1766.0;;
B1;Leserin;die;;Substantiv;fem.;https://www.dwds.de/wb/Leserin#1;0.0;;;;;;;
BUCHMEIER,HERMIT;Leslie;;;;;;;8514.0;159;;;;5778.0;1436.0
BUCHMEIER,HERMIT;Lester;;;;;;;9311.0;142;;;;5813.0;1426.0
LEEDS,LEIPZIG;Lesung;;;;;;;;;4322.0;14.18;5674.0;;
A1,LEEDS;letzt;;;Adjektiv;;https://www.dwds.de/wb/letzt;0.0;;;140.0;498.92;;;
BUCHMEIER,HERMIT,LEEDS,LEIPZIG,LEO739,NRW111;letzte;;;;;;;486.0;6069;4495.0;13.5;646.0;381.0;44246.0
BUCHMEIER,HERMIT,LEIPZIG;letzten;;;;;;;579.0;5105;;;216.0;478.0;34029.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;letztendlich;;;;;;;5075.0;319;2776.0;25.12;9549.0;4551.0;1950.0
BUCHMEIER,HERMIT;letztens;;;;;;;9361.0;141;;;;7829.0;970.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;letzter;;;;;;;1370.0;1623;4587.0;13.15;3739.0;1152.0;10837.0
BUCHMEIER,HERMIT,LEIPZIG;letztes;;;;;;;1922.0;1093;;;4500.0;1221.0;10140.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;letztlich;;;;;;;9068.0;147;1277.0;59.28;1955.0;9404.0;759.0
HERMIT,LEEDS;leuchten;;;;;;;;;4122.0;15.12;;7774.0;979.0
HERMIT,LEIPZIG;leuchtet;;;;;;;;;;;9998.0;8600.0;854.0
BUCHMEIER,HERMIT,LEEDS;leugnen;;;;;;;9677.0;135;4983.0;11.69;;6418.0;1258.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Leute;;;Substantiv;;https://www.dwds.de/wb/Leute;1.0;166.0;20021;238.0;286.95;410.0;177.0;109956.0
BUCHMEIER,HERMIT,LEIPZIG;Leuten;;;;;;;837.0;3038;;;2248.0;831.0;16172.0
BUCHMEIER,HERMIT;Leutnant;;;;;;;4755.0;348;;;;3943.0;2344.0
BUCHMEIER,HERMIT;Level;;;;;;;6068.0;251;;;;6318.0;1283.0
BUCHMEIER,HERMIT;Lewis;;;;;;;3368.0;546;;;;3909.0;2371.0
BUCHMEIER,HERMIT;Lex;;;;;;;2448.0;806;;;;3994.0;2305.0
B1,BW3;Lexikon;das;Lexika;Substantiv;neutr.;https://www.dwds.de/wb/Lexikon;0.0;;;;;;;
BUCHMEIER,HERMIT;lhnen;;;;;;;1077.0;2222;;;;2581.0;4021.0
BUCHMEIER,HERMIT;lhr;;;;;;;230.0;14189;;;;1346.0;8998.0
BUCHMEIER,HERMIT;lhre;;;;;;;398.0;7515;;;;1606.0;7252.0
BUCHMEIER,HERMIT;lhrem;;;;;;;1487.0;1475;;;;4598.0;1920.0
BUCHMEIER,HERMIT;lhren;;;;;;;992.0;2446;;;;3637.0;2591.0
BUCHMEIER,HERMIT;lhrer;;;;;;;1167.0;2002;;;;4631.0;1908.0
BUCHMEIER,HERMIT;Li;;;;;;;6581.0;225;;;;5587.0;1492.0
LEEDS,LEIPZIG;Liberale;;;;;;;;;4639.0;12.93;7601.0;;
FEHLER200,FEHLER400,LEIPZIG;Libyen;;;;;;;;;;;9400.0;;
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG,LEO739;Licht;das;;Substantiv;neutr.;https://www.dwds.de/wb/Licht;0.0;826.0;3087;688.0;107.68;1215.0;770.0;17780.0
BUCHMEIER,HERMIT;Lichter;;;;;;;5237.0;305;;;;4501.0;1981.0
FEHLER400;Lid;;;;;;;;;;;;;
A1,BUCHMEIER,HERMIT,LEEDS,LEO739,NRW422;lieb;;;Adjektiv;;https://www.dwds.de/wb/lieb;0.0;1620.0;1332;384.0;186.44;;1219.0;10154.0
A2,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Liebe;die;;Substantiv;fem.;https://www.dwds.de/wb/Liebe;0.0;325.0;9206;431.0;166.22;891.0;188.0;99301.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;lieben;;du liebst, Liebe;Verb;;https://www.dwds.de/wb/lieben;0.0;812.0;3157;925.0;82.09;3922.0;658.0;22407.0
A1,BUCHMEIER,HERMIT,LEIPZIG;lieber;;;Komparativ;;https://www.dwds.de/wb/lieber;0.0;476.0;6138;;;1142.0;348.0;49123.0
BUCHMEIER,HERMIT;Liebes;;;;;;;3224.0;578;;;;1765.0;6399.0
LEEDS,LEIPZIG;liebevoll;;;;;;;;;4486.0;13.53;9480.0;;
BUCHMEIER,HERMIT,LEIPZIG;Liebhaber;;;;;;;5185.0;309;;;7005.0;3999.0;2301.0
BUCHMEIER,HERMIT;Liebling;;;;;;;987.0;2471;;;;913.0;14521.0
A1;Lieblingslied;das;;Substantiv;neutr.;https://www.dwds.de/wb/Lieblingslied;0.0;;;;;;;
BUCHMEIER,HERMIT;liebst;;;;;;;1594.0;1359;;;;1291.0;9465.0
BUCHMEIER,HERMIT;Liebste;;;;;;;7659.0;183;;;;4336.0;2084.0
BUCHMEIER,HERMIT,LEIPZIG;liebsten;;;;;;;3852.0;456;;;3554.0;2843.0;3517.0
BUCHMEIER,HERMIT;Liebster;;;;;;;8215.0;167;;;;5040.0;1706.0
BUCHMEIER,HERMIT,LEIPZIG;liebt;;;;;;;1068.0;2238;;;4230.0;891.0;14978.0
BUCHMEIER,HERMIT;liebte;;;;;;;2513.0;784;;;;2149.0;5006.0
BUCHMEIER,HERMIT;liebten;;;;;;;8744.0;154;;;;7599.0;1009.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;Lied;das;Lieder;Substantiv;neutr.;https://www.dwds.de/wb/Lied;0.0;1527.0;1423;1531.0;49.76;4584.0;1518.0;7827.0
BUCHMEIER,HERMIT,LEIPZIG;Lieder;;;;;;;7232.0;199;;;4267.0;5988.0;1374.0
BUCHMEIER,HERMIT,LEIPZIG;lief;;;;;;;1851.0;1151;;;2958.0;1342.0;9047.0
BUCHMEIER,HERMIT,LEIPZIG;liefen;;;;;;;8880.0;151;;;6082.0;7676.0;996.0
A2,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;liefern;;;Verb;;https://www.dwds.de/wb/liefern;0.0;4041.0;431;901.0;83.5;2469.0;3009.0;3300.0
BUCHMEIER,HERMIT,LEIPZIG;liefert;;;;;;;8799.0;153;;;2821.0;7612.0;1006.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Lieferung;die;;Substantiv;fem.;https://www.dwds.de/wb/Lieferung;0.0;4781.0;345;4020.0;15.66;4358.0;3898.0;2380.0
BUCHMEIER,HERMIT,LEIPZIG;liege;;;;;;;5525.0;282;;;2018.0;4591.0;1925.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG,LEO739,NRW422;liegen;;du liegst, ich lag;Verb;;https://www.dwds.de/wb/liegen;0.0;1108.0;2130;119.0;582.95;440.0;930.0;14099.0
BUCHMEIER,HERMIT;liegst;;;;;;;5543.0;281;;;;4889.0;1772.0
BUCHMEIER,FEHLER300,HERMIT,LEIPZIG;liegt;;;;;;;535.0;5576;;;254.0;445.0;36313.0
BUCHMEIER,HERMIT;Lies;;;;;;;4501.0;372;;;;3063.0;3223.0
BUCHMEIER,FEHLER100,FEHLER300,HERMIT,LEIPZIG,LEO739,NRW422;liest;;;;;;;2809.0;686;;;2502.0;2319.0;4602.0
BUCHMEIER,HERMIT;Lieutenant;;;;;;;2059.0;1014;;;;1373.0;8811.0
BUCHMEIER,FEHLER100,FEHLER300,HERMIT,LEIPZIG;ließ;;;;;;;1455.0;1516;;;460.0;1025.0;12333.0
HERMIT,LEIPZIG;ließe;;;;;;;;;;;4258.0;9324.0;768.0
BUCHMEIER,HERMIT,LEIPZIG;ließen;;;;;;;3165.0;594;;;1226.0;2798.0;3596.0
B1;Lift;der;;Substantiv;mask.;https://www.dwds.de/wb/Lift;0.0;;;;;;;
HERMIT,LEEDS,LEIPZIG;Liga;;;;;;;;;4156.0;14.97;3594.0;7352.0;1056.0
BUCHMEIER,HERMIT;like;;;;;;;9770.0;133;;;;4836.0;1801.0
HERMIT,LEO739;lila;;;;;;;;;;;;5387.0;1560.0
BUCHMEIER,HERMIT;Lilly;;;;;;;7764.0;180;;;;9205.0;781.0
BUCHMEIER,HERMIT;Lily;;;;;;;7308.0;196;;;;1895.0;5937.0
B1,BUCHMEIER,HERMIT,LEO739;Limonade;die;;Substantiv;fem.;https://www.dwds.de/wb/Limonade;0.0;8434.0;161;;;;7665.0;998.0
BUCHMEIER,HERMIT;Lincoln;;;;;;;3219.0;579;;;;4020.0;2280.0
BUCHMEIER,HERMIT;Linda;;;;;;;3759.0;468;;;;2738.0;3726.0
LEO739;Lineal;das;;Substantiv;;;;;;;;;;
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Linie;die;;Substantiv;fem.;https://www.dwds.de/wb/Linie;0.0;3218.0;579;870.0;86.06;1985.0;3277.0;2961.0
BUCHMEIER,HERMIT,LEIPZIG;Linien;;;;;;;9310.0;142;;;5916.0;8874.0;818.0
A2,B1,LEEDS;Link;der;;Substantiv;mask., neutr.;https://www.dwds.de/wb/Link;0.0;;;951.0;79.37;;;
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;linke;;;;;;;5035.0;323;1532.0;49.71;4469.0;3808.0;2449.0
BUCHMEIER,HERMIT,LEIPZIG;linken;;;;;;;4007.0;435;;;2543.0;3213.0;3019.0
A1,BUCHMEIER,BW3,FEHLER300,HERMIT,LEEDS,LEIPZIG,LEO739;links;;;Adverb;;https://www.dwds.de/wb/links#1;0.0;1419.0;1558;1163.0;65.1;1929.0;1177.0;10601.0
BUCHMEIER,HERMIT;Lionel;;;;;;;8075.0;171;;;;6919.0;1134.0
B1,LEEDS,LEO739;Lippe;die;;Substantiv;fem.;https://www.dwds.de/wb/Lippe;0.0;;;3354.0;19.8;;;
BUCHMEIER,HERMIT,LEIPZIG;Lippen;;;;;;;3101.0;607;;;6855.0;2950.0;3371.0
BUCHMEIER,HERMIT;Lippenstift;;;;;;;7658.0;183;;;;7165.0;1088.0
BUCHMEIER,HERMIT;Lisa;;;;;;;1566.0;1389;;;;2069.0;5226.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Liste;die;;Substantiv;fem.;https://www.dwds.de/wb/Liste;0.0;917.0;2725;1194.0;63.3;1032.0;1144.0;10890.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Liter;;;Substantiv;mask., neutr.;https://www.dwds.de/wb/Liter;0.0;7171.0;201;4130.0;15.08;2906.0;6599.0;1214.0
B1,HERMIT,LEEDS,LEIPZIG;Literatur;die;;Substantiv;fem.;https://www.dwds.de/wb/Literatur;0.0;;;854.0;87.81;1446.0;7842.0;968.0
HERMIT,LEIPZIG;litt;;;;;;;;;;;9595.0;8645.0;848.0
BUCHMEIER,HERMIT;Little;;;;;;;4669.0;356;;;;3256.0;2985.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;live;;;;;;;5245.0;304;3550.0;18.38;4167.0;3758.0;2482.0
BUCHMEIER,HERMIT;Liz;;;;;;;8478.0;160;;;;4123.0;2219.0
BUCHMEIER,FEHLER400,HERMIT,LEEDS,LEIPZIG;Lizenz;;;;;;;9199.0;144;3867.0;16.46;6891.0;7509.0;1026.0
FEHLER400;lizenzieren;;;;;;;;;;;;;
A1,BUCHMEIER,HERMIT,LEIPZIG;LKW;der;;Substantiv;mask.;https://www.dwds.de/wb/LKW;0.0;9891.0;131;;;8582.0;5366.0;1570.0
BUCHMEIER,HERMIT;Lloyd;;;;;;;4272.0;398;;;;5355.0;1574.0
BUCHMEIER,HERMIT;lm;;;;;;;2862.0;671;;;;6749.0;1175.0
BUCHMEIER,HERMIT;ln;;;;;;;2318.0;870;;;;6404.0;1262.0
BW3,HERMIT,LEEDS,LEIPZIG;Lob;das;loben;Substantiv;;;;;;4229.0;14.61;5106.0;9952.0;705.0
B1,LEEDS;loben;;;Verb;;https://www.dwds.de/wb/loben;0.0;;;3850.0;16.53;;;
