Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural
A1;Appartement;das;;Substantiv;neutr.;https://www.dwds.de/wb/Appartement;0.0
A1;Appetit;der;;Substantiv;mask.;https://www.dwds.de/wb/Appetit;0.0
B1;Aprikose;die;;Substantiv;fem.;https://www.dwds.de/wb/Aprikose;0.0
A1,BW1;April;der;;Substantiv;mask.;https://www.dwds.de/wb/April;0.0
BW3;Aquarium;das;Aquarien;Substantiv;;;
A1;Arbeit;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeit;0.0
B1;Arbeiter;der;;Substantiv;mask.;https://www.dwds.de/wb/Arbeiter;0.0
B1;Arbeiterin;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeiterin;0.0
B1;Arbeitserlaubnis;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeitserlaubnis;0.0
B1;Arbeitslosigkeit;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeitslosigkeit;0.0
A1;Arbeitsplatz;der;;Substantiv;mask.;https://www.dwds.de/wb/Arbeitsplatz;0.0
B1;Arbeitsstelle;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeitsstelle;0.0
B1;Architekt;der;;Substantiv;mask.;https://www.dwds.de/wb/Architekt;0.0
B1;Architektin;die;;Substantiv;fem.;https://www.dwds.de/wb/Architektin;0.0
A1,BW1;Arm;der;;Substantiv;mask.;https://www.dwds.de/wb/Arm;0.0
B1;Art;die;;Substantiv;fem.;https://www.dwds.de/wb/Art;0.0
A2;Artikel;der;;Substantiv;mask.;https://www.dwds.de/wb/Artikel;0.0
A1,BW3;Arzt;der;Ärzte, Ärztin;Substantiv;mask.;https://www.dwds.de/wb/Arzt;0.0
BW1;Ast;der;Äste;Substantiv;;;
B1;Asyl;das;;Substantiv;neutr.;https://www.dwds.de/wb/Asyl;0.0
B1;Atem;der;;Substantiv;mask.;https://www.dwds.de/wb/Atem;0.0
B1;Au;;;Symbol;;https://www.dwds.de/wb/Au#3;0.0
B1;Aufenthalt;der;;Substantiv;mask.;https://www.dwds.de/wb/Aufenthalt;0.0
B1;Aufforderung;die;;Substantiv;fem.;https://www.dwds.de/wb/Aufforderung;0.0
A1,BW1;Aufgabe;die;;Substantiv;fem.;https://www.dwds.de/wb/Aufgabe;0.0
B1;Aufnahme;die;;Substantiv;fem.;https://www.dwds.de/wb/Aufnahme;0.0
B1;Auftrag;der;;Substantiv;mask.;https://www.dwds.de/wb/Auftrag;0.0
B1;Auftritt;der;;Substantiv;mask.;https://www.dwds.de/wb/Auftritt;0.0
A1;Aufzug;der;;Substantiv;mask.;https://www.dwds.de/wb/Aufzug;0.0
A1;Auge;das;;Substantiv;neutr.;https://www.dwds.de/wb/Auge;0.0
B1;Augenblick;der;;Substantiv;mask.;https://www.dwds.de/wb/Augenblick;0.0
A1,BW1;August;der;;Substantiv;mask.;https://www.dwds.de/wb/August#1;0.0
A2;Ausbildung;die;;Substantiv;fem.;https://www.dwds.de/wb/Ausbildung;0.0
B1;Ausdruck;der;;Substantiv;mask.;https://www.dwds.de/wb/Ausdruck#1;0.0
B1;Ausfahrt;die;;Substantiv;fem.;https://www.dwds.de/wb/Ausfahrt;0.0
A1;Ausflug;der;;Substantiv;mask.;https://www.dwds.de/wb/Ausflug;0.0
B1;Ausgabe;die;;Substantiv;fem.;https://www.dwds.de/wb/Ausgabe;0.0
A1;Ausgang;der;;Substantiv;mask.;https://www.dwds.de/wb/Ausgang;0.0
B1;Aushilfe;die;;Substantiv;fem.;https://www.dwds.de/wb/Aushilfe;0.0
A1;Auskunft;die;;Substantiv;fem.;https://www.dwds.de/wb/Auskunft;0.0
A1;Ausland;das;;Substantiv;neutr.;https://www.dwds.de/wb/Ausland;0.0
A1;Ausländer;der;;Substantiv;mask.;https://www.dwds.de/wb/Ausl%C3%A4nder;0.0
B1;Ausnahme;die;;Substantiv;fem.;https://www.dwds.de/wb/Ausnahme;0.0
A1;Aussage;die;;Substantiv;fem.;https://www.dwds.de/wb/Aussage;0.0
B1;Aussprache;die;;Substantiv;fem.;https://www.dwds.de/wb/Aussprache;0.0
A2;Ausstellung;die;;Substantiv;fem.;https://www.dwds.de/wb/Ausstellung;0.0
B1;Auswahl;die;;Substantiv;fem.;https://www.dwds.de/wb/Auswahl;0.0
A1;Ausweis;der;;Substantiv;mask.;https://www.dwds.de/wb/Ausweis;0.0
A1;Auto;das;;Substantiv;neutr.;https://www.dwds.de/wb/Auto;0.0
A1;Autobahn;die;;Substantiv;fem.;https://www.dwds.de/wb/Autobahn;0.0
A1;Automat;der;;Substantiv;mask.;https://www.dwds.de/wb/Automat;0.0
B1;Autor;der;;Substantiv;mask.;https://www.dwds.de/wb/Autor;0.0
B1;Autorin;die;;Substantiv;fem.;https://www.dwds.de/wb/Autorin;0.0
BW3;Axt;die;Äxte;Substantiv;;;
A1,BW1;Baby;das;Babys;Substantiv;neutr.;https://www.dwds.de/wb/Baby;0.0
A2;Babysitter;der;;Substantiv;mask.;https://www.dwds.de/wb/Babysitter;0.0
BW1;Bach;der;Bäche;Substantiv;;;
B1;Backofen;der;;Substantiv;mask.;https://www.dwds.de/wb/Backofen;0.0
B1;Backrohr;das;;Substantiv;neutr.;https://www.dwds.de/wb/Backrohr;0.0
A1,BW3;Bad;das;Bäder;Substantiv;neutr.;https://www.dwds.de/wb/Bad;0.0
B1;Badewanne;die;;Substantiv;fem.;https://www.dwds.de/wb/Badewanne;0.0
A1;Bahn;die;;Substantiv;fem.;https://www.dwds.de/wb/Bahn;0.0
A1;Bahnhof;der;;Substantiv;mask.;https://www.dwds.de/wb/Bahnhof;0.0
A1;Bahnsteig;der;;Substantiv;mask.;https://www.dwds.de/wb/Bahnsteig;0.0
A1;Balkon;der;;Substantiv;mask.;https://www.dwds.de/wb/Balkon;0.0
A2,BW3;Ball;der;Bälle;Substantiv;mask.;https://www.dwds.de/wb/Ball#1;0.0
B1;Ballett;das;;Substantiv;neutr.;https://www.dwds.de/wb/Ballett;0.0
A1;Banane;die;;Substantiv;fem.;https://www.dwds.de/wb/Banane;0.0
B1;Bancomat;der;;Substantiv;mask.;https://www.dwds.de/wb/Bancomat;0.0
B1;Bancomatkarte;die;;Substantiv;fem.;https://www.dwds.de/wb/Bancomatkarte;0.0
A2,BW3;Band;die;Bänder;Substantiv;fem.;https://www.dwds.de/wb/Band#3;0.0
A1,BW1;Bank;die;Bänke;Substantiv;fem.;https://www.dwds.de/wb/Bank#1;0.0
B1;Bankleitzahl;die;;Substantiv;fem.;https://www.dwds.de/wb/Bankleitzahl;0.0
B1;Bankomat;der;;Substantiv;mask.;https://www.dwds.de/wb/Bankomat;0.0
B1;Bankomatkarte;die;;Substantiv;fem.;https://www.dwds.de/wb/Bankomatkarte;0.0
B1;Bar;die;;Substantiv;fem.;https://www.dwds.de/wb/Bar#1;0.0
B1;Bargeld;das;;Substantiv;neutr.;https://www.dwds.de/wb/Bargeld;0.0
B1;Bart;der;;Substantiv;mask.;https://www.dwds.de/wb/Bart;0.0
A2;Basketball;der;;Substantiv;mask., neutr.;https://www.dwds.de/wb/Basketball;0.0
B1;Batterie;die;;Substantiv;fem.;https://www.dwds.de/wb/Batterie#1;0.0
B1;Bau;der;;Substantiv;mask.;https://www.dwds.de/wb/Bau;0.0
A1;Bauch;der;;Substantiv;mask.;https://www.dwds.de/wb/Bauch;0.0
B1;Bauer;der;;Substantiv;mask.;https://www.dwds.de/wb/Bauer#1;0.0
B1;Bauernhof;der;;Substantiv;mask.;https://www.dwds.de/wb/Bauernhof;0.0
A1,BW1;Baum;der;Bäume;Substantiv;mask.;https://www.dwds.de/wb/Baum;0.0
A2;Baustelle;die;;Substantiv;fem.;https://www.dwds.de/wb/Baustelle;0.0
A1;Beamte;;;Substantiv;mask., fem.;https://www.dwds.de/wb/Beamte;0.0
B1;Beamtin;die;;Substantiv;fem.;https://www.dwds.de/wb/Beamtin;0.0
B1;Bedarf;der;;Substantiv;mask.;https://www.dwds.de/wb/Bedarf;0.0
B1;Bedeutung;die;;Substantiv;fem.;https://www.dwds.de/wb/Bedeutung;0.0
B1;Bedienungsanleitung;die;;Substantiv;fem.;https://www.dwds.de/wb/Bedienungsanleitung;0.0
B1;Bedingung;die;;Substantiv;fem.;https://www.dwds.de/wb/Bedingung;0.0
BW3;Beere;die;;Substantiv;;;
B1;Beginn;der;;Substantiv;mask.;https://www.dwds.de/wb/Beginn;0.0
